cust_id,cust_price_sensitivity,cust_lifestage,total_spend,no_trans
CUST0000000013,MM,YF,160.32,12
CUST0000000055,LA,YA,433.65,15
CUST0000000679,MM,OT,85.63,14
CUST0000001052,UM,PE,260.92,31
CUST0000001058,UM,OT,71.5,2
CUST0000001098,LA,YA,409.15,41
CUST0000001148,UM,YA,218.04,55
CUST0000001392,LA,OT,3130.69,156
CUST0000001400,MM,OT,425.02,5
CUST0000001437,MM,OA,830.74,120
CUST0000001480,MM,,762.22,78
CUST0000001962,MM,OT,594.3,65
CUST0000002218,LA,PE,579.02,139
CUST0000002245,MM,OT,166.34,27
CUST0000002623,UM,OT,95.23,3
CUST0000002678,LA,OT,93.78,31
CUST0000003190,UM,OA,1504.11,116
CUST0000003347,MM,OA,5237.09,148
CUST0000003447,MM,OT,3873.33,275
CUST0000003603,XX,PE,13.8,4
CUST0000004239,LA,OT,4794.96,565
CUST0000004287,UM,OT,494.96,165
CUST0000004457,LA,YF,1552.3,125
CUST0000004696,MM,OT,48.78,22
CUST0000004825,LA,,3378.35,197
CUST0000005053,MM,,4706.38,264
CUST0000005388,MM,YA,178.18,59
CUST0000005739,MM,YA,185.63,48
CUST0000005874,LA,OA,317.84,92
CUST0000006239,MM,OT,178.5,8
CUST0000006394,LA,YA,1325.05,134
CUST0000006445,UM,YA,629.3,120
CUST0000006976,LA,,173.33,58
CUST0000007046,MM,YA,708.3,65
CUST0000007540,XX,OT,14.17,1
CUST0000007634,XX,OA,9.62,3
CUST0000007988,LA,OF,321.41,152
CUST0000008112,XX,OT,2.76,1
CUST0000008206,UM,OT,46.64,7
CUST0000008235,LA,OT,223.4,5
CUST0000008483,UM,OA,54.55,15
CUST0000008640,MM,OT,67.09,10
CUST0000008716,MM,OT,31.57,4
CUST0000008879,LA,OT,183.42,65
CUST0000008910,MM,YA,1530.68,144
CUST0000009422,UM,PE,1025.52,157
CUST0000009537,UM,,2095.57,386
CUST0000009737,MM,OA,4811.99,546
CUST0000009875,XX,OT,9.86,1
CUST0000010288,MM,OT,1367.66,75
CUST0000010509,MM,OF,398.73,44
CUST0000010532,MM,OA,147.49,27
CUST0000010712,LA,OF,393.16,33
CUST0000010805,MM,OT,379.96,70
CUST0000010921,MM,YA,2934.07,239
CUST0000010950,UM,OA,1089.22,103
CUST0000011068,LA,PE,1439.41,213
CUST0000011182,MM,OT,49.57,12
CUST0000011232,UM,YA,134.93,16
CUST0000011546,LA,,894.86,21
CUST0000011647,UM,YF,1984.11,93
CUST0000011873,UM,OT,1403.35,164
CUST0000012055,MM,OT,82.18,10
CUST0000012241,LA,OT,193.82,55
CUST0000012357,UM,YF,1711.7,79
CUST0000012470,MM,OA,187.78,16
CUST0000012535,LA,OT,519.05,13
CUST0000013075,UM,YF,2965.54,110
CUST0000013461,LA,OT,240.67,22
CUST0000013530,LA,YA,43.31,8
CUST0000013675,XX,OT,6.67,1
CUST0000013725,UM,OT,406.02,17
CUST0000014241,UM,OT,94.29,6
CUST0000014549,LA,OA,3622.33,516
CUST0000014840,LA,YF,1935.28,230
CUST0000014855,UM,OA,61.7,2
CUST0000014942,UM,,1660.1,105
CUST0000014944,XX,OT,14.52,7
CUST0000015147,XX,OT,0.07,1
CUST0000015843,MM,YA,325.04,41
CUST0000015949,UM,OA,1382.52,182
CUST0000015976,LA,OA,121.37,7
CUST0000016087,UM,OF,8116.39,174
CUST0000016305,MM,YF,842.21,94
CUST0000016376,UM,OT,5508.91,209
CUST0000016975,LA,OT,1795.72,292
CUST0000017060,MM,YA,73.08,6
CUST0000017071,XX,OT,3.74,3
CUST0000017220,LA,OT,223.33,11
CUST0000017545,MM,OA,2600.58,74
CUST0000017681,XX,,21.08,2
CUST0000017968,UM,OT,114.32,10
CUST0000018190,UM,OA,660.45,89
