cust_id,E01,E02,E03,N01,N02,N03,S01,S02,S03,W01,W02,W03
CUST0000000013,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
CUST0000000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
CUST0000000679,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CUST0000001052,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
CUST0000001058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CUST0000001098,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CUST0000001148,0.0,0.0,0.0,4.0,3.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0
CUST0000001392,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000001400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
CUST0000001437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0
CUST0000001480,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
CUST0000001962,1.0,0.0,17.0,1.0,0.0,0.0,0.0,35.0,4.0,7.0,0.0,0.0
CUST0000002218,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,27.0,0.0,2.0
CUST0000002245,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
CUST0000002623,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000002678,0.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0
CUST0000003190,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000003347,4.0,135.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
CUST0000003447,10.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,211.0,47.0,1.0,0.0
CUST0000003603,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000004239,0.0,1.0,0.0,0.0,536.0,1.0,0.0,2.0,0.0,25.0,0.0,0.0
CUST0000004287,0.0,103.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,48.0
CUST0000004457,1.0,10.0,0.0,0.0,7.0,0.0,3.0,0.0,29.0,71.0,4.0,0.0
CUST0000004696,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,14.0
CUST0000004825,3.0,1.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000005053,0.0,0.0,6.0,0.0,3.0,251.0,0.0,0.0,0.0,4.0,0.0,0.0
CUST0000005388,10.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,38.0,4.0
CUST0000005739,0.0,2.0,2.0,1.0,20.0,3.0,3.0,9.0,1.0,4.0,3.0,0.0
CUST0000005874,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
CUST0000006239,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
CUST0000006394,4.0,0.0,0.0,41.0,3.0,81.0,0.0,2.0,0.0,0.0,1.0,2.0
CUST0000006445,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,7.0,0.0,104.0,2.0
CUST0000006976,0.0,0.0,0.0,0.0,0.0,39.0,0.0,19.0,0.0,0.0,0.0,0.0
CUST0000007046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
CUST0000007540,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000007634,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000007988,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,107.0,1.0,0.0,31.0
CUST0000008112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000008206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
CUST0000008235,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000008483,0.0,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0
CUST0000008640,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000008716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
CUST0000008879,0.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000008910,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
CUST0000009422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0
CUST0000009537,0.0,0.0,188.0,3.0,6.0,42.0,1.0,143.0,2.0,0.0,1.0,0.0
CUST0000009737,17.0,413.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,7.0,0.0,0.0
CUST0000009875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000010288,0.0,0.0,0.0,0.0,0.0,6.0,68.0,0.0,0.0,1.0,0.0,0.0
CUST0000010509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
CUST0000010532,0.0,0.0,0.0,9.0,0.0,1.0,0.0,13.0,0.0,0.0,2.0,2.0
CUST0000010712,0.0,0.0,0.0,2.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
CUST0000010805,0.0,13.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
CUST0000010921,2.0,4.0,0.0,0.0,0.0,191.0,1.0,0.0,0.0,34.0,6.0,1.0
CUST0000010950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0
CUST0000011068,4.0,2.0,0.0,5.0,162.0,0.0,31.0,2.0,0.0,7.0,0.0,0.0
CUST0000011182,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
CUST0000011232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0
CUST0000011546,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0
CUST0000011647,6.0,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0
CUST0000011873,0.0,0.0,0.0,0.0,0.0,0.0,161.0,3.0,0.0,0.0,0.0,0.0
CUST0000012055,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0
CUST0000012241,1.0,2.0,0.0,0.0,0.0,3.0,0.0,42.0,0.0,7.0,0.0,0.0
CUST0000012357,6.0,0.0,0.0,0.0,28.0,1.0,1.0,2.0,13.0,21.0,6.0,1.0
CUST0000012470,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
CUST0000012535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
CUST0000013075,96.0,4.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
CUST0000013461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
CUST0000013530,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
CUST0000013675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUST0000013725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
