cust_id,LS,MS,SS,XLS
CUST0000000013,9.0,3.0,0.0,0.0
CUST0000000055,0.0,15.0,0.0,0.0
CUST0000000679,9.0,5.0,0.0,0.0
CUST0000001052,0.0,3.0,6.0,22.0
CUST0000001058,2.0,0.0,0.0,0.0
CUST0000001098,38.0,3.0,0.0,0.0
CUST0000001148,53.0,2.0,0.0,0.0
CUST0000001392,156.0,0.0,0.0,0.0
CUST0000001400,5.0,0.0,0.0,0.0
CUST0000001437,1.0,119.0,0.0,0.0
CUST0000001480,16.0,62.0,0.0,0.0
CUST0000001962,28.0,27.0,10.0,0.0
CUST0000002218,27.0,2.0,110.0,0.0
CUST0000002245,17.0,0.0,10.0,0.0
CUST0000002623,3.0,0.0,0.0,0.0
CUST0000002678,25.0,5.0,1.0,0.0
CUST0000003190,116.0,0.0,0.0,0.0
CUST0000003347,7.0,141.0,0.0,0.0
CUST0000003447,274.0,1.0,0.0,0.0
CUST0000003603,0.0,4.0,0.0,0.0
CUST0000004239,540.0,25.0,0.0,0.0
CUST0000004287,10.0,2.0,48.0,105.0
CUST0000004457,76.0,4.0,17.0,28.0
CUST0000004696,6.0,2.0,14.0,0.0
CUST0000004825,197.0,0.0,0.0,0.0
CUST0000005053,258.0,6.0,0.0,0.0
CUST0000005388,57.0,2.0,0.0,0.0
CUST0000005739,29.0,7.0,7.0,5.0
CUST0000005874,92.0,0.0,0.0,0.0
CUST0000006239,7.0,1.0,0.0,0.0
CUST0000006394,51.0,80.0,3.0,0.0
CUST0000006445,0.0,112.0,5.0,3.0
CUST0000006976,0.0,58.0,0.0,0.0
CUST0000007046,65.0,0.0,0.0,0.0
CUST0000007540,1.0,0.0,0.0,0.0
CUST0000007634,3.0,0.0,0.0,0.0
CUST0000007988,0.0,1.0,44.0,107.0
CUST0000008112,0.0,0.0,0.0,1.0
CUST0000008206,0.0,7.0,0.0,0.0
CUST0000008235,5.0,0.0,0.0,0.0
CUST0000008483,2.0,3.0,10.0,0.0
CUST0000008640,10.0,0.0,0.0,0.0
CUST0000008716,4.0,0.0,0.0,0.0
CUST0000008879,2.0,62.0,0.0,1.0
CUST0000008910,144.0,0.0,0.0,0.0
